Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Muzio,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Muzio,2/12/1893,5/21/1982,No,1936,,
Navarro,Agustin,,https://en.wikipedia.org/wiki/Agust%C3%ADn_Hern%C3%A1ndez_Navarro,2/29/1924,11/10/2022,No,1997,,
Nervi,Pier Luigi,,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,6/21/1891,1/9/1979,No,"1921, 1955",,
Neumann,Alfred,,https://en.wikipedia.org/wiki/Alfred_Neumann_(architect),1/26/1900,10/23/1968,No,1957,,
Neutra,Richard,,https://en.wikipedia.org/wiki/Richard_Neutra,4/8/1892,4/16/1970,Yes,1951,,
Niemeyer,Oscar,,https://en.wikipedia.org/wiki/Oscar_Niemeyer,12/15/1907,12/5/2012,No,"1955, 1964",,
Norberg-Schulz,Christian,,https://en.wikipedia.org/wiki/Christian_Norberg-Schulz,5/23/1926,3/28/2000,Yes,1973,,
Norton,,,,,,No,2002,,
Nouvel,Jean,,https://en.wikipedia.org/wiki/Jean_Nouvel,8/12/1945,,Yes,"1987, 1992",,
Nowicki,Maciej,,https://en.wikipedia.org/wiki/Maciej_Nowicki_(architect),06/26/1910,09/01/1950,No,1950,,
Spuybroek,Lars,,https://en.wikipedia.org/wiki/Lars_Spuybroek,9/16/1959,,No,2003,,
Olbrich,Joseph Maria,,https://en.wikipedia.org/wiki/Joseph_Maria_Olbrich,12/22/1867,9/8/1908,No,1901,,
Osa,,,https://en.wikipedia.org/wiki/OSA_Group,1925,1930,No,1926,,
Ostberg,Ragnar,,https://en.wikipedia.org/wiki/Ragnar_%C3%96stberg,7/14/1866,2/5/1945,No,1919,,
Oud,J.J.,,https://en.wikipedia.org/wiki/J._J._P._Oud,2/9/1890,4/5/1963,No,1922,,
Outram,John,,https://en.wikipedia.org/wiki/John_Outram,6/21/1934,,No,1980,,
